Province,Date,Sex,Age,Cummulative number of people (Vaccinedose1)
Newfoundland and Labrador,10/30/2021,f,0–4,0
Newfoundland and Labrador,10/30/2021,f,05–11,18
Newfoundland and Labrador,10/30/2021,f,12–17,15041
Newfoundland and Labrador,10/30/2021,f,18–29,30416
Newfoundland and Labrador,10/30/2021,f,30–39,29178
Newfoundland and Labrador,10/30/2021,f,40–49,33208
Newfoundland and Labrador,10/30/2021,f,50–59,40720
Newfoundland and Labrador,10/30/2021,f,60–69,41282
Newfoundland and Labrador,10/30/2021,f,70–79,28541
Newfoundland and Labrador,10/30/2021,f,80+,12996
Newfoundland and Labrador,10/30/2021,f,All ages,231408
Newfoundland and Labrador,10/30/2021,f,Not reported,0
Newfoundland and Labrador,10/30/2021,f,Unknown,8
Newfoundland and Labrador,10/30/2021,m,0–4,0
Newfoundland and Labrador,10/30/2021,m,05–11,18
Newfoundland and Labrador,10/30/2021,m,12–17,15717
Newfoundland and Labrador,10/30/2021,m,18–29,30586
Newfoundland and Labrador,10/30/2021,m,30–39,27387
Newfoundland and Labrador,10/30/2021,m,40–49,31027
Newfoundland and Labrador,10/30/2021,m,50–59,38638
Newfoundland and Labrador,10/30/2021,m,60–69,39464
Newfoundland and Labrador,10/30/2021,m,70–79,26321
Newfoundland and Labrador,10/30/2021,m,80+,9367
Newfoundland and Labrador,10/30/2021,m,All ages,218529
Newfoundland and Labrador,10/30/2021,m,Not reported,0
Newfoundland and Labrador,10/30/2021,m,Unknown,4
Newfoundland and Labrador,10/30/2021,Other,0–4,0
Newfoundland and Labrador,10/30/2021,Other,05–11,0
Newfoundland and Labrador,10/30/2021,Other,12–17,0
Newfoundland and Labrador,10/30/2021,Other,18–29,0
Newfoundland and Labrador,10/30/2021,Other,30–39,0
Newfoundland and Labrador,10/30/2021,Other,40–49,0
Newfoundland and Labrador,10/30/2021,Other,50–59,0
Newfoundland and Labrador,10/30/2021,Other,60–69,0
Newfoundland and Labrador,10/30/2021,Other,70–79,0
Newfoundland and Labrador,10/30/2021,Other,80+,0
Newfoundland and Labrador,10/30/2021,Other,All ages,0
Newfoundland and Labrador,10/30/2021,Other,Not reported,0
Newfoundland and Labrador,10/30/2021,Other,Unknown,0
Newfoundland and Labrador,10/30/2021,Unknown,0–4,0
Newfoundland and Labrador,10/30/2021,Unknown,05–11,0
Newfoundland and Labrador,10/30/2021,Unknown,12–17,139
Newfoundland and Labrador,10/30/2021,Unknown,18–29,365
Newfoundland and Labrador,10/30/2021,Unknown,30–39,229
Newfoundland and Labrador,10/30/2021,Unknown,40–49,165
Newfoundland and Labrador,10/30/2021,Unknown,50–59,209
Newfoundland and Labrador,10/30/2021,Unknown,60–69,172
Newfoundland and Labrador,10/30/2021,Unknown,70–79,104
Newfoundland and Labrador,10/30/2021,Unknown,80+,151
Newfoundland and Labrador,10/30/2021,Unknown,All ages,1539
Newfoundland and Labrador,10/30/2021,Unknown,Not reported,0
Newfoundland and Labrador,10/30/2021,Unknown,Unknown,5
Newfoundland and Labrador,10/30/2021,Not reported,0–4,0
Newfoundland and Labrador,10/30/2021,Not reported,05–11,0
Newfoundland and Labrador,10/30/2021,Not reported,12–17,0
Newfoundland and Labrador,10/30/2021,Not reported,18–29,0
Newfoundland and Labrador,10/30/2021,Not reported,30–39,0
Newfoundland and Labrador,10/30/2021,Not reported,40–49,0
Newfoundland and Labrador,10/30/2021,Not reported,50–59,0
Newfoundland and Labrador,10/30/2021,Not reported,60–69,0
Newfoundland and Labrador,10/30/2021,Not reported,70–79,0
Newfoundland and Labrador,10/30/2021,Not reported,80+,0
Newfoundland and Labrador,10/30/2021,Not reported,All ages,0
Newfoundland and Labrador,10/30/2021,Not reported,Not reported,0
Newfoundland and Labrador,10/30/2021,Not reported,Unknown,0
Prince Edward Island,10/30/2021,All sexes,0–4,0
Prince Edward Island,10/30/2021,All sexes,05–11,0
Prince Edward Island,10/30/2021,All sexes,12–17,9525
Prince Edward Island,10/30/2021,All sexes,18–29,24214
Prince Edward Island,10/30/2021,All sexes,30–39,17983
Prince Edward Island,10/30/2021,All sexes,40–49,18467
Prince Edward Island,10/30/2021,All sexes,50–59,21120
Prince Edward Island,10/30/2021,All sexes,60–69,21793
Prince Edward Island,10/30/2021,All sexes,70–79,15178
Prince Edward Island,10/30/2021,All sexes,80+,7666
Prince Edward Island,10/30/2021,All sexes,All ages,136074
Prince Edward Island,10/30/2021,All sexes,Not reported,0
Prince Edward Island,10/30/2021,All sexes,Unknown,128
Prince Edward Island,10/30/2021,f,0–4,0
Prince Edward Island,10/30/2021,f,05–11,0
Prince Edward Island,10/30/2021,f,12–17,4777
Prince Edward Island,10/30/2021,f,18–29,11623
Prince Edward Island,10/30/2021,f,30–39,9224
Prince Edward Island,10/30/2021,f,40–49,9570
Prince Edward Island,10/30/2021,f,50–59,10883
Prince Edward Island,10/30/2021,f,60–69,11348
Prince Edward Island,10/30/2021,f,70–79,7906
Prince Edward Island,10/30/2021,f,80+,4589
Prince Edward Island,10/30/2021,f,All ages,69920
Prince Edward Island,10/30/2021,f,Not reported,0
Prince Edward Island,10/30/2021,f,Unknown,0
Prince Edward Island,10/30/2021,m,0–4,0
Prince Edward Island,10/30/2021,m,05–11,0
Prince Edward Island,10/30/2021,m,12–17,4730
Prince Edward Island,10/30/2021,m,18–29,12103
Prince Edward Island,10/30/2021,m,30–39,8654
Prince Edward Island,10/30/2021,m,40–49,8810
Prince Edward Island,10/30/2021,m,50–59,10171
Prince Edward Island,10/30/2021,m,60–69,10414
Prince Edward Island,10/30/2021,m,70–79,7260
Prince Edward Island,10/30/2021,m,80+,3077
Prince Edward Island,10/30/2021,m,All ages,65219
Prince Edward Island,10/30/2021,m,Not reported,0
Prince Edward Island,10/30/2021,m,Unknown,0
Prince Edward Island,10/30/2021,Other,0–4,0
Prince Edward Island,10/30/2021,Other,05–11,0
Prince Edward Island,10/30/2021,Other,12–17,0
Prince Edward Island,10/30/2021,Other,18–29,0
Prince Edward Island,10/30/2021,Other,30–39,0
Prince Edward Island,10/30/2021,Other,40–49,0
Prince Edward Island,10/30/2021,Other,50–59,0
Prince Edward Island,10/30/2021,Other,60–69,0
Prince Edward Island,10/30/2021,Other,70–79,0
Prince Edward Island,10/30/2021,Other,80+,0
Prince Edward Island,10/30/2021,Other,All ages,0
Prince Edward Island,10/30/2021,Other,Not reported,0
Prince Edward Island,10/30/2021,Other,Unknown,0
Prince Edward Island,10/30/2021,Unknown,0–4,0
Prince Edward Island,10/30/2021,Unknown,05–11,0
Prince Edward Island,10/30/2021,Unknown,12–17,18
Prince Edward Island,10/30/2021,Unknown,18–29,488
Prince Edward Island,10/30/2021,Unknown,30–39,105
Prince Edward Island,10/30/2021,Unknown,40–49,87
Prince Edward Island,10/30/2021,Unknown,50–59,66
Prince Edward Island,10/30/2021,Unknown,60–69,31
Prince Edward Island,10/30/2021,Unknown,70–79,12
Prince Edward Island,10/30/2021,Unknown,80+,0
Prince Edward Island,10/30/2021,Unknown,All ages,935
Prince Edward Island,10/30/2021,Unknown,Not reported,0
Prince Edward Island,10/30/2021,Unknown,Unknown,128
Prince Edward Island,10/30/2021,Not reported,0–4,0
Prince Edward Island,10/30/2021,Not reported,05–11,0
Prince Edward Island,10/30/2021,Not reported,12–17,0
Prince Edward Island,10/30/2021,Not reported,18–29,0
Prince Edward Island,10/30/2021,Not reported,30–39,0
Prince Edward Island,10/30/2021,Not reported,40–49,0
Prince Edward Island,10/30/2021,Not reported,50–59,0
Prince Edward Island,10/30/2021,Not reported,60–69,0
Prince Edward Island,10/30/2021,Not reported,70–79,0
Prince Edward Island,10/30/2021,Not reported,80+,0
Prince Edward Island,10/30/2021,Not reported,All ages,0
Prince Edward Island,10/30/2021,Not reported,Not reported,0
Prince Edward Island,10/30/2021,Not reported,Unknown,0
Nova Scotia,10/30/2021,All sexes,0–4,0
Nova Scotia,10/30/2021,All sexes,05–11,1
Nova Scotia,10/30/2021,All sexes,12–17,54107
Nova Scotia,10/30/2021,All sexes,18–29,126634
Nova Scotia,10/30/2021,All sexes,30–39,107948
Nova Scotia,10/30/2021,All sexes,40–49,108160
Nova Scotia,10/30/2021,All sexes,50–59,132615
Nova Scotia,10/30/2021,All sexes,60–69,138613
Nova Scotia,10/30/2021,All sexes,70–79,94736
Nova Scotia,10/30/2021,All sexes,80+,46859
Nova Scotia,10/30/2021,All sexes,All ages,809673
Nova Scotia,10/30/2021,All sexes,Not reported,0
Nova Scotia,10/30/2021,All sexes,Unknown,0
Nova Scotia,10/30/2021,f,0–4,0
Nova Scotia,10/30/2021,f,05–11,0
Nova Scotia,10/30/2021,f,12–17,26669
Nova Scotia,10/30/2021,f,18–29,64241
Nova Scotia,10/30/2021,f,30–39,56639
Nova Scotia,10/30/2021,f,40–49,57067
Nova Scotia,10/30/2021,f,50–59,69158
Nova Scotia,10/30/2021,f,60–69,71920
Nova Scotia,10/30/2021,f,70–79,49809
Nova Scotia,10/30/2021,f,80+,27965
Nova Scotia,10/30/2021,f,All ages,423468
Nova Scotia,10/30/2021,f,Not reported,0
Nova Scotia,10/30/2021,f,Unknown,0
Nova Scotia,10/30/2021,m,0–4,0
Nova Scotia,10/30/2021,m,05–11,1
Nova Scotia,10/30/2021,m,12–17,27427
Nova Scotia,10/30/2021,m,18–29,62376
Nova Scotia,10/30/2021,m,30–39,51306
Nova Scotia,10/30/2021,m,40–49,51087
Nova Scotia,10/30/2021,m,50–59,63452
Nova Scotia,10/30/2021,m,60–69,66690
Nova Scotia,10/30/2021,m,70–79,44927
Nova Scotia,10/30/2021,m,80+,18894
Nova Scotia,10/30/2021,m,All ages,386160
Nova Scotia,10/30/2021,m,Not reported,0
Nova Scotia,10/30/2021,m,Unknown,0
Nova Scotia,10/30/2021,Other,0–4,0
Nova Scotia,10/30/2021,Other,05–11,0
Nova Scotia,10/30/2021,Other,12–17,0
Nova Scotia,10/30/2021,Other,18–29,0
Nova Scotia,10/30/2021,Other,30–39,0
Nova Scotia,10/30/2021,Other,40–49,0
Nova Scotia,10/30/2021,Other,50–59,0
Nova Scotia,10/30/2021,Other,60–69,0
Nova Scotia,10/30/2021,Other,70–79,0
Nova Scotia,10/30/2021,Other,80+,0
Nova Scotia,10/30/2021,Other,All ages,0
Nova Scotia,10/30/2021,Other,Not reported,0
Nova Scotia,10/30/2021,Other,Unknown,0
Nova Scotia,10/30/2021,Unknown,0–4,0
Nova Scotia,10/30/2021,Unknown,05–11,0
Nova Scotia,10/30/2021,Unknown,12–17,11
Nova Scotia,10/30/2021,Unknown,18–29,17
Nova Scotia,10/30/2021,Unknown,30–39,3
Nova Scotia,10/30/2021,Unknown,40–49,6
Nova Scotia,10/30/2021,Unknown,50–59,5
Nova Scotia,10/30/2021,Unknown,60–69,3
Nova Scotia,10/30/2021,Unknown,70–79,0
Nova Scotia,10/30/2021,Unknown,80+,0
Nova Scotia,10/30/2021,Unknown,All ages,45
Nova Scotia,10/30/2021,Unknown,Not reported,0
Nova Scotia,10/30/2021,Unknown,Unknown,0
Nova Scotia,10/30/2021,Not reported,0–4,0
Nova Scotia,10/30/2021,Not reported,05–11,0
Nova Scotia,10/30/2021,Not reported,12–17,0
Nova Scotia,10/30/2021,Not reported,18–29,0
Nova Scotia,10/30/2021,Not reported,30–39,0
Nova Scotia,10/30/2021,Not reported,40–49,0
Nova Scotia,10/30/2021,Not reported,50–59,0
Nova Scotia,10/30/2021,Not reported,60–69,0
Nova Scotia,10/30/2021,Not reported,70–79,0
Nova Scotia,10/30/2021,Not reported,80+,0
Nova Scotia,10/30/2021,Not reported,All ages,0
Nova Scotia,10/30/2021,Not reported,Not reported,0
Nova Scotia,10/30/2021,Not reported,Unknown,0
New Brunswick,10/30/2021,All sexes,0–4,0
New Brunswick,10/30/2021,All sexes,05–11,925
New Brunswick,10/30/2021,All sexes,12–17,42722
New Brunswick,10/30/2021,All sexes,18–29,92449
New Brunswick,10/30/2021,All sexes,30–39,80717
New Brunswick,10/30/2021,All sexes,40–49,89477
New Brunswick,10/30/2021,All sexes,50–59,105476
New Brunswick,10/30/2021,All sexes,60–69,112463
New Brunswick,10/30/2021,All sexes,70–79,78458
New Brunswick,10/30/2021,All sexes,80+,39726
New Brunswick,10/30/2021,All sexes,All ages,642535
New Brunswick,10/30/2021,All sexes,Not reported,0
New Brunswick,10/30/2021,All sexes,Unknown,122
New Brunswick,10/30/2021,f,0–4,0
New Brunswick,10/30/2021,f,05–11,483
New Brunswick,10/30/2021,f,12–17,21182
New Brunswick,10/30/2021,f,18–29,46221
New Brunswick,10/30/2021,f,30–39,41890
New Brunswick,10/30/2021,f,40–49,46661
New Brunswick,10/30/2021,f,50–59,54038
New Brunswick,10/30/2021,f,60–69,57856
New Brunswick,10/30/2021,f,70–79,40636
New Brunswick,10/30/2021,f,80+,23390
New Brunswick,10/30/2021,f,All ages,332357
New Brunswick,10/30/2021,f,Not reported,0
New Brunswick,10/30/2021,f,Unknown,0
New Brunswick,10/30/2021,m,0–4,0
New Brunswick,10/30/2021,m,05–11,442
New Brunswick,10/30/2021,m,12–17,21513
New Brunswick,10/30/2021,m,18–29,46179
New Brunswick,10/30/2021,m,30–39,38827
New Brunswick,10/30/2021,m,40–49,42795
New Brunswick,10/30/2021,m,50–59,51428
New Brunswick,10/30/2021,m,60–69,54607
New Brunswick,10/30/2021,m,70–79,37822
New Brunswick,10/30/2021,m,80+,16331
New Brunswick,10/30/2021,m,All ages,309944
New Brunswick,10/30/2021,m,Not reported,0
New Brunswick,10/30/2021,m,Unknown,0
New Brunswick,10/30/2021,Other,0–4,0
New Brunswick,10/30/2021,Other,05–11,0
New Brunswick,10/30/2021,Other,12–17,0
New Brunswick,10/30/2021,Other,18–29,5
New Brunswick,10/30/2021,Other,30–39,0
New Brunswick,10/30/2021,Other,40–49,0
New Brunswick,10/30/2021,Other,50–59,0
New Brunswick,10/30/2021,Other,60–69,0
New Brunswick,10/30/2021,Other,70–79,0
New Brunswick,10/30/2021,Other,80+,0
New Brunswick,10/30/2021,Other,All ages,5
New Brunswick,10/30/2021,Other,Not reported,0
New Brunswick,10/30/2021,Other,Unknown,0
New Brunswick,10/30/2021,Unknown,0–4,0
New Brunswick,10/30/2021,Unknown,05–11,0
New Brunswick,10/30/2021,Unknown,12–17,27
New Brunswick,10/30/2021,Unknown,18–29,44
New Brunswick,10/30/2021,Unknown,30–39,0
New Brunswick,10/30/2021,Unknown,40–49,21
New Brunswick,10/30/2021,Unknown,50–59,10
New Brunswick,10/30/2021,Unknown,60–69,0
New Brunswick,10/30/2021,Unknown,70–79,0
New Brunswick,10/30/2021,Unknown,80+,5
New Brunswick,10/30/2021,Unknown,All ages,229
New Brunswick,10/30/2021,Unknown,Not reported,0
New Brunswick,10/30/2021,Unknown,Unknown,122
New Brunswick,10/30/2021,Not reported,0–4,0
New Brunswick,10/30/2021,Not reported,05–11,0
New Brunswick,10/30/2021,Not reported,12–17,0
New Brunswick,10/30/2021,Not reported,18–29,0
New Brunswick,10/30/2021,Not reported,30–39,0
New Brunswick,10/30/2021,Not reported,40–49,0
New Brunswick,10/30/2021,Not reported,50–59,0
New Brunswick,10/30/2021,Not reported,60–69,0
New Brunswick,10/30/2021,Not reported,70–79,0
New Brunswick,10/30/2021,Not reported,80+,0
New Brunswick,10/30/2021,Not reported,All ages,0
New Brunswick,10/30/2021,Not reported,Not reported,0
New Brunswick,10/30/2021,Not reported,Unknown,0
Quebec,10/30/2021,All sexes,0–4,171
Quebec,10/30/2021,All sexes,05–11,105
Quebec,10/30/2021,All sexes,12–17,469818
Quebec,10/30/2021,All sexes,18–29,1025827
Quebec,10/30/2021,All sexes,30–39,960071
Quebec,10/30/2021,All sexes,40–49,995386
Quebec,10/30/2021,All sexes,50–59,1037488
Quebec,10/30/2021,All sexes,60–69,1103643
Quebec,10/30/2021,All sexes,70–79,763140
Quebec,10/30/2021,All sexes,80+,415931
Quebec,10/30/2021,All sexes,All ages,6771587
Quebec,10/30/2021,All sexes,Not reported,0
Quebec,10/30/2021,All sexes,Unknown,7
Quebec,10/30/2021,f,0–4,85
Quebec,10/30/2021,f,05–11,59
Quebec,10/30/2021,f,12–17,230863
Quebec,10/30/2021,f,18–29,512350
Quebec,10/30/2021,f,30–39,484582
Quebec,10/30/2021,f,40–49,499115
Quebec,10/30/2021,f,50–59,519291
Quebec,10/30/2021,f,60–69,561246
Quebec,10/30/2021,f,70–79,401211
Quebec,10/30/2021,f,80+,251102
Quebec,10/30/2021,f,All ages,3459904
Quebec,10/30/2021,f,Not reported,0
Quebec,10/30/2021,f,Unknown,0
Quebec,10/30/2021,m,0–4,86
Quebec,10/30/2021,m,05–11,46
Quebec,10/30/2021,m,12–17,238803
Quebec,10/30/2021,m,18–29,512717
Quebec,10/30/2021,m,30–39,475041
Quebec,10/30/2021,m,40–49,495950
Quebec,10/30/2021,m,50–59,517949
Quebec,10/30/2021,m,60–69,542162
Quebec,10/30/2021,m,70–79,361779
Quebec,10/30/2021,m,80+,164776
Quebec,10/30/2021,m,All ages,3309309
Quebec,10/30/2021,m,Not reported,0
Quebec,10/30/2021,m,Unknown,0
Quebec,10/30/2021,Other,0–4,0
Quebec,10/30/2021,Other,05–11,0
Quebec,10/30/2021,Other,12–17,0
Quebec,10/30/2021,Other,18–29,0
Quebec,10/30/2021,Other,30–39,0
Quebec,10/30/2021,Other,40–49,0
Quebec,10/30/2021,Other,50–59,0
Quebec,10/30/2021,Other,60–69,0
Quebec,10/30/2021,Other,70–79,0
Quebec,10/30/2021,Other,80+,0
Quebec,10/30/2021,Other,All ages,0
Quebec,10/30/2021,Other,Not reported,0
Quebec,10/30/2021,Other,Unknown,0
Quebec,10/30/2021,Unknown,0–4,0
Quebec,10/30/2021,Unknown,05–11,0
Quebec,10/30/2021,Unknown,12–17,152
Quebec,10/30/2021,Unknown,18–29,760
Quebec,10/30/2021,Unknown,30–39,448
Quebec,10/30/2021,Unknown,40–49,321
Quebec,10/30/2021,Unknown,50–59,248
Quebec,10/30/2021,Unknown,60–69,235
Quebec,10/30/2021,Unknown,70–79,150
Quebec,10/30/2021,Unknown,80+,53
Quebec,10/30/2021,Unknown,All ages,2374
Quebec,10/30/2021,Unknown,Not reported,0
Quebec,10/30/2021,Unknown,Unknown,7
Quebec,10/30/2021,Not reported,0–4,0
Quebec,10/30/2021,Not reported,05–11,0
Quebec,10/30/2021,Not reported,12–17,0
Quebec,10/30/2021,Not reported,18–29,0
Quebec,10/30/2021,Not reported,30–39,0
Quebec,10/30/2021,Not reported,40–49,0
Quebec,10/30/2021,Not reported,50–59,0
Quebec,10/30/2021,Not reported,60–69,0
Quebec,10/30/2021,Not reported,70–79,0
Quebec,10/30/2021,Not reported,80+,0
Quebec,10/30/2021,Not reported,All ages,0
Quebec,10/30/2021,Not reported,Not reported,0
Quebec,10/30/2021,Not reported,Unknown,0
Ontario,10/30/2021,All sexes,0–4,0
Ontario,10/30/2021,All sexes,05–11,0
Ontario,10/30/2021,All sexes,12–17,844505
Ontario,10/30/2021,All sexes,18–29,2074900
Ontario,10/30/2021,All sexes,30–39,1738092
Ontario,10/30/2021,All sexes,40–49,1628686
Ontario,10/30/2021,All sexes,50–59,1830145
Ontario,10/30/2021,All sexes,60–69,1651185
Ontario,10/30/2021,All sexes,70–79,1080547
Ontario,10/30/2021,All sexes,80+,613067
Ontario,10/30/2021,All sexes,All ages,11497222
Ontario,10/30/2021,All sexes,Not reported,0
Ontario,10/30/2021,All sexes,Unknown,36095
Ontario,10/30/2021,f,0–4,0
Ontario,10/30/2021,f,05–11,0
Ontario,10/30/2021,f,12–17,413582
Ontario,10/30/2021,f,18–29,1014322
Ontario,10/30/2021,f,30–39,876360
Ontario,10/30/2021,f,40–49,842625
Ontario,10/30/2021,f,50–59,936464
Ontario,10/30/2021,f,60–69,854799
Ontario,10/30/2021,f,70–79,572597
Ontario,10/30/2021,f,80+,362174
Ontario,10/30/2021,f,All ages,5889322
Ontario,10/30/2021,f,Not reported,0
Ontario,10/30/2021,f,Unknown,16399
Ontario,10/30/2021,m,0–4,0
Ontario,10/30/2021,m,05–11,0
Ontario,10/30/2021,m,12–17,429171
Ontario,10/30/2021,m,18–29,1053960
Ontario,10/30/2021,m,30–39,857612
Ontario,10/30/2021,m,40–49,783245
Ontario,10/30/2021,m,50–59,891124
Ontario,10/30/2021,m,60–69,794646
Ontario,10/30/2021,m,70–79,506752
Ontario,10/30/2021,m,80+,247977
Ontario,10/30/2021,m,All ages,5581801
Ontario,10/30/2021,m,Not reported,0
Ontario,10/30/2021,m,Unknown,17314
Ontario,10/30/2021,Other,0–4,0
Ontario,10/30/2021,Other,05–11,0
Ontario,10/30/2021,Other,12–17,952
Ontario,10/30/2021,Other,18–29,2673
Ontario,10/30/2021,Other,30–39,1106
Ontario,10/30/2021,Other,40–49,462
Ontario,10/30/2021,Other,50–59,316
Ontario,10/30/2021,Other,60–69,254
Ontario,10/30/2021,Other,70–79,185
Ontario,10/30/2021,Other,80+,134
Ontario,10/30/2021,Other,All ages,6105
Ontario,10/30/2021,Other,Not reported,0
Ontario,10/30/2021,Other,Unknown,23
Ontario,10/30/2021,Unknown,0–4,0
Ontario,10/30/2021,Unknown,05–11,0
Ontario,10/30/2021,Unknown,12–17,800
Ontario,10/30/2021,Unknown,18–29,3945
Ontario,10/30/2021,Unknown,30–39,3014
Ontario,10/30/2021,Unknown,40–49,2354
Ontario,10/30/2021,Unknown,50–59,2241
Ontario,10/30/2021,Unknown,60–69,1486
Ontario,10/30/2021,Unknown,70–79,1013
Ontario,10/30/2021,Unknown,80+,2782
Ontario,10/30/2021,Unknown,All ages,19994
Ontario,10/30/2021,Unknown,Not reported,0
Ontario,10/30/2021,Unknown,Unknown,2359
Ontario,10/30/2021,Not reported,0–4,0
Ontario,10/30/2021,Not reported,05–11,0
Ontario,10/30/2021,Not reported,12–17,0
Ontario,10/30/2021,Not reported,18–29,0
Ontario,10/30/2021,Not reported,30–39,0
Ontario,10/30/2021,Not reported,40–49,0
Ontario,10/30/2021,Not reported,50–59,0
Ontario,10/30/2021,Not reported,60–69,0
Ontario,10/30/2021,Not reported,70–79,0
Ontario,10/30/2021,Not reported,80+,0
Ontario,10/30/2021,Not reported,All ages,0
Ontario,10/30/2021,Not reported,Not reported,0
Ontario,10/30/2021,Not reported,Unknown,0
Manitoba,10/30/2021,All sexes,0–4,0
Manitoba,10/30/2021,All sexes,05–11,0
Manitoba,10/30/2021,All sexes,12–17,82208
Manitoba,10/30/2021,All sexes,18–29,197144
Manitoba,10/30/2021,All sexes,30–39,163893
Manitoba,10/30/2021,All sexes,40–49,150568
Manitoba,10/30/2021,All sexes,50–59,150523
Manitoba,10/30/2021,All sexes,60–69,148606
Manitoba,10/30/2021,All sexes,70–79,97016
Manitoba,10/30/2021,All sexes,80+,56826
Manitoba,10/30/2021,All sexes,All ages,1046884
Manitoba,10/30/2021,All sexes,Not reported,0
Manitoba,10/30/2021,All sexes,Unknown,100
Manitoba,10/30/2021,f,0–4,0
Manitoba,10/30/2021,f,05–11,0
Manitoba,10/30/2021,f,12–17,40556
Manitoba,10/30/2021,f,18–29,95233
Manitoba,10/30/2021,f,30–39,82269
Manitoba,10/30/2021,f,40–49,75968
Manitoba,10/30/2021,f,50–59,76200
Manitoba,10/30/2021,f,60–69,75884
Manitoba,10/30/2021,f,70–79,51322
Manitoba,10/30/2021,f,80+,34218
Manitoba,10/30/2021,f,All ages,531681
Manitoba,10/30/2021,f,Not reported,0
Manitoba,10/30/2021,f,Unknown,31
Manitoba,10/30/2021,m,0–4,0
Manitoba,10/30/2021,m,05–11,0
Manitoba,10/30/2021,m,12–17,41546
Manitoba,10/30/2021,m,18–29,100896
Manitoba,10/30/2021,m,30–39,81208
Manitoba,10/30/2021,m,40–49,74402
Manitoba,10/30/2021,m,50–59,74211
Manitoba,10/30/2021,m,60–69,72626
Manitoba,10/30/2021,m,70–79,45639
Manitoba,10/30/2021,m,80+,22599
Manitoba,10/30/2021,m,All ages,513173
Manitoba,10/30/2021,m,Not reported,0
Manitoba,10/30/2021,m,Unknown,46
Manitoba,10/30/2021,Other,0–4,0
Manitoba,10/30/2021,Other,05–11,0
Manitoba,10/30/2021,Other,12–17,0
Manitoba,10/30/2021,Other,18–29,0
Manitoba,10/30/2021,Other,30–39,0
Manitoba,10/30/2021,Other,40–49,0
Manitoba,10/30/2021,Other,50–59,0
Manitoba,10/30/2021,Other,60–69,0
Manitoba,10/30/2021,Other,70–79,0
Manitoba,10/30/2021,Other,80+,0
Manitoba,10/30/2021,Other,All ages,0
Manitoba,10/30/2021,Other,Not reported,0
Manitoba,10/30/2021,Other,Unknown,0
Manitoba,10/30/2021,Unknown,0–4,0
Manitoba,10/30/2021,Unknown,05–11,0
Manitoba,10/30/2021,Unknown,12–17,106
Manitoba,10/30/2021,Unknown,18–29,1015
Manitoba,10/30/2021,Unknown,30–39,416
Manitoba,10/30/2021,Unknown,40–49,198
Manitoba,10/30/2021,Unknown,50–59,112
Manitoba,10/30/2021,Unknown,60–69,96
Manitoba,10/30/2021,Unknown,70–79,55
Manitoba,10/30/2021,Unknown,80+,9
Manitoba,10/30/2021,Unknown,All ages,2030
Manitoba,10/30/2021,Unknown,Not reported,0
Manitoba,10/30/2021,Unknown,Unknown,23
Manitoba,10/30/2021,Not reported,0–4,0
Manitoba,10/30/2021,Not reported,05–11,0
Manitoba,10/30/2021,Not reported,12–17,0
Manitoba,10/30/2021,Not reported,18–29,0
Manitoba,10/30/2021,Not reported,30–39,0
Manitoba,10/30/2021,Not reported,40–49,0
Manitoba,10/30/2021,Not reported,50–59,0
Manitoba,10/30/2021,Not reported,60–69,0
Manitoba,10/30/2021,Not reported,70–79,0
Manitoba,10/30/2021,Not reported,80+,0
Manitoba,10/30/2021,Not reported,All ages,0
Manitoba,10/30/2021,Not reported,Not reported,0
Manitoba,10/30/2021,Not reported,Unknown,0
Saskatchewan,10/30/2021,All sexes,0–4,14
Saskatchewan,10/30/2021,All sexes,05–11,2198
Saskatchewan,10/30/2021,All sexes,12–17,72456
Saskatchewan,10/30/2021,All sexes,18–29,145230
Saskatchewan,10/30/2021,All sexes,30–39,139763
Saskatchewan,10/30/2021,All sexes,40–49,124053
Saskatchewan,10/30/2021,All sexes,50–59,121738
Saskatchewan,10/30/2021,All sexes,60–69,126697
Saskatchewan,10/30/2021,All sexes,70–79,75590
Saskatchewan,10/30/2021,All sexes,80+,48537
Saskatchewan,10/30/2021,All sexes,All ages,856422
Saskatchewan,10/30/2021,All sexes,Not reported,0
Saskatchewan,10/30/2021,All sexes,Unknown,146
Saskatchewan,10/30/2021,f,0–4,0
Saskatchewan,10/30/2021,f,05–11,1032
Saskatchewan,10/30/2021,f,12–17,36000
Saskatchewan,10/30/2021,f,18–29,71555
Saskatchewan,10/30/2021,f,30–39,70251
Saskatchewan,10/30/2021,f,40–49,61879
Saskatchewan,10/30/2021,f,50–59,61559
Saskatchewan,10/30/2021,f,60–69,63771
Saskatchewan,10/30/2021,f,70–79,39019
Saskatchewan,10/30/2021,f,80+,29104
Saskatchewan,10/30/2021,f,All ages,434186
Saskatchewan,10/30/2021,f,Not reported,0
Saskatchewan,10/30/2021,f,Unknown,16
Saskatchewan,10/30/2021,m,0–4,14
Saskatchewan,10/30/2021,m,05–11,1166
Saskatchewan,10/30/2021,m,12–17,36404
Saskatchewan,10/30/2021,m,18–29,73441
Saskatchewan,10/30/2021,m,30–39,69247
Saskatchewan,10/30/2021,m,40–49,61978
Saskatchewan,10/30/2021,m,50–59,59963
Saskatchewan,10/30/2021,m,60–69,62714
Saskatchewan,10/30/2021,m,70–79,36478
Saskatchewan,10/30/2021,m,80+,19403
Saskatchewan,10/30/2021,m,All ages,420832
