Province,Date,Sex,Age,Cummulative number of people (Vaccinedose1)
Canada,12/26/2020,m,75–79,208
Canada,12/26/2020,m,80+,709
Canada,12/26/2020,m,All ages,10824
Canada,12/26/2020,m,Not reported,0
Canada,12/26/2020,m,Unknown,0
Canada,12/26/2020,Unknown,0–15,0
Canada,12/26/2020,Unknown,16–69,26
Canada,12/26/2020,Unknown,70–74,6
Canada,12/26/2020,Unknown,75–79,7
Canada,12/26/2020,Unknown,80+,0
Canada,12/26/2020,Unknown,All ages,50
Canada,12/26/2020,Unknown,Not reported,0
Canada,12/26/2020,Unknown,Unknown,11
Canada,12/26/2020,Not reported,0–15,0
Canada,12/26/2020,Not reported,16–69,0
Canada,12/26/2020,Not reported,70–74,0
Canada,12/26/2020,Not reported,75–79,0
Canada,12/26/2020,Not reported,80+,0
Canada,12/26/2020,Not reported,All ages,2606
Canada,12/26/2020,Not reported,Not reported,2606
Canada,12/26/2020,Not reported,Unknown,0
Newfoundland and Labrador,12/26/2020,All sexes,0–15,0
Newfoundland and Labrador,12/26/2020,All sexes,16–69,1770
Newfoundland and Labrador,12/26/2020,All sexes,70–74,10
Newfoundland and Labrador,12/26/2020,All sexes,75–79,4
Newfoundland and Labrador,12/26/2020,All sexes,80+,1
Newfoundland and Labrador,12/26/2020,All sexes,All ages,1785
Newfoundland and Labrador,12/26/2020,All sexes,Not reported,0
Newfoundland and Labrador,12/26/2020,All sexes,Unknown,0
Newfoundland and Labrador,12/26/2020,f,0–15,0
Newfoundland and Labrador,12/26/2020,f,16–69,1335
Newfoundland and Labrador,12/26/2020,f,70–74,2
Newfoundland and Labrador,12/26/2020,f,75–79,0
Newfoundland and Labrador,12/26/2020,f,80+,0
Newfoundland and Labrador,12/26/2020,f,All ages,1337
Newfoundland and Labrador,12/26/2020,f,Not reported,0
Newfoundland and Labrador,12/26/2020,f,Unknown,0
Newfoundland and Labrador,12/26/2020,m,0–15,0
Newfoundland and Labrador,12/26/2020,m,16–69,429
Newfoundland and Labrador,12/26/2020,m,70–74,8
Newfoundland and Labrador,12/26/2020,m,75–79,4
Newfoundland and Labrador,12/26/2020,m,80+,1
Newfoundland and Labrador,12/26/2020,m,All ages,442
Newfoundland and Labrador,12/26/2020,m,Not reported,0
Newfoundland and Labrador,12/26/2020,m,Unknown,0
Newfoundland and Labrador,12/26/2020,Unknown,0–15,0
Newfoundland and Labrador,12/26/2020,Unknown,16–69,6
Newfoundland and Labrador,12/26/2020,Unknown,70–74,0
Newfoundland and Labrador,12/26/2020,Unknown,75–79,0
Newfoundland and Labrador,12/26/2020,Unknown,80+,0
Newfoundland and Labrador,12/26/2020,Unknown,All ages,6
Newfoundland and Labrador,12/26/2020,Unknown,Not reported,0
Newfoundland and Labrador,12/26/2020,Unknown,Unknown,0
Newfoundland and Labrador,12/26/2020,Not reported,0–15,0
Newfoundland and Labrador,12/26/2020,Not reported,16–69,0
Newfoundland and Labrador,12/26/2020,Not reported,70–74,0
Newfoundland and Labrador,12/26/2020,Not reported,75–79,0
Newfoundland and Labrador,12/26/2020,Not reported,80+,0
Newfoundland and Labrador,12/26/2020,Not reported,All ages,0
Newfoundland and Labrador,12/26/2020,Not reported,Not reported,0
Newfoundland and Labrador,12/26/2020,Not reported,Unknown,0
Prince Edward Island,12/26/2020,All sexes,0–15,0
Prince Edward Island,12/26/2020,All sexes,16–69,1140
Prince Edward Island,12/26/2020,All sexes,70–74,0
Prince Edward Island,12/26/2020,All sexes,75–79,0
Prince Edward Island,12/26/2020,All sexes,80+,0
Prince Edward Island,12/26/2020,All sexes,All ages,1152
Prince Edward Island,12/26/2020,All sexes,Not reported,0
Prince Edward Island,12/26/2020,All sexes,Unknown,12
Prince Edward Island,12/26/2020,f,0–15,0
Prince Edward Island,12/26/2020,f,16–69,886
Prince Edward Island,12/26/2020,f,70–74,0
Prince Edward Island,12/26/2020,f,75–79,0
Prince Edward Island,12/26/2020,f,80+,0
Prince Edward Island,12/26/2020,f,All ages,892
Prince Edward Island,12/26/2020,f,Not reported,0
Prince Edward Island,12/26/2020,f,Unknown,6
Prince Edward Island,12/26/2020,m,0–15,0
Prince Edward Island,12/26/2020,m,16–69,247
Prince Edward Island,12/26/2020,m,70–74,0
Prince Edward Island,12/26/2020,m,75–79,0
Prince Edward Island,12/26/2020,m,80+,0
Prince Edward Island,12/26/2020,m,All ages,247
Prince Edward Island,12/26/2020,m,Not reported,0
Prince Edward Island,12/26/2020,m,Unknown,0
Prince Edward Island,12/26/2020,Unknown,0–15,0
Prince Edward Island,12/26/2020,Unknown,16–69,7
Prince Edward Island,12/26/2020,Unknown,70–74,0
Prince Edward Island,12/26/2020,Unknown,75–79,0
Prince Edward Island,12/26/2020,Unknown,80+,0
Prince Edward Island,12/26/2020,Unknown,All ages,13
Prince Edward Island,12/26/2020,Unknown,Not reported,0
Prince Edward Island,12/26/2020,Unknown,Unknown,6
Prince Edward Island,12/26/2020,Not reported,0–15,0
Prince Edward Island,12/26/2020,Not reported,16–69,0
Prince Edward Island,12/26/2020,Not reported,70–74,0
Prince Edward Island,12/26/2020,Not reported,75–79,0
Prince Edward Island,12/26/2020,Not reported,80+,0
Prince Edward Island,12/26/2020,Not reported,All ages,0
Prince Edward Island,12/26/2020,Not reported,Not reported,0
Prince Edward Island,12/26/2020,Not reported,Unknown,0
Nova Scotia,12/26/2020,All sexes,0–15,0
Nova Scotia,12/26/2020,All sexes,16–69,2191
Nova Scotia,12/26/2020,All sexes,70–74,15
Nova Scotia,12/26/2020,All sexes,75–79,7
Nova Scotia,12/26/2020,All sexes,80+,5
Nova Scotia,12/26/2020,All sexes,All ages,2218
Nova Scotia,12/26/2020,All sexes,Not reported,0
Nova Scotia,12/26/2020,All sexes,Unknown,0
Nova Scotia,12/26/2020,f,0–15,0
Nova Scotia,12/26/2020,f,16–69,1556
Nova Scotia,12/26/2020,f,70–74,10
Nova Scotia,12/26/2020,f,75–79,5
Nova Scotia,12/26/2020,f,80+,3
Nova Scotia,12/26/2020,f,All ages,1574
Nova Scotia,12/26/2020,f,Not reported,0
Nova Scotia,12/26/2020,f,Unknown,0
Nova Scotia,12/26/2020,m,0–15,0
Nova Scotia,12/26/2020,m,16–69,635
Nova Scotia,12/26/2020,m,70–74,5
Nova Scotia,12/26/2020,m,75–79,2
Nova Scotia,12/26/2020,m,80+,2
Nova Scotia,12/26/2020,m,All ages,644
Nova Scotia,12/26/2020,m,Not reported,0
Nova Scotia,12/26/2020,m,Unknown,0
Nova Scotia,12/26/2020,Unknown,0–15,0
Nova Scotia,12/26/2020,Unknown,16–69,0
Nova Scotia,12/26/2020,Unknown,70–74,0
Nova Scotia,12/26/2020,Unknown,75–79,0
Nova Scotia,12/26/2020,Unknown,80+,0
Nova Scotia,12/26/2020,Unknown,All ages,0
Nova Scotia,12/26/2020,Unknown,Not reported,0
Nova Scotia,12/26/2020,Unknown,Unknown,0
Nova Scotia,12/26/2020,Not reported,0–15,0
Nova Scotia,12/26/2020,Not reported,16–69,0
Nova Scotia,12/26/2020,Not reported,70–74,0
Nova Scotia,12/26/2020,Not reported,75–79,0
Nova Scotia,12/26/2020,Not reported,80+,0
Nova Scotia,12/26/2020,Not reported,All ages,0
Nova Scotia,12/26/2020,Not reported,Not reported,0
Nova Scotia,12/26/2020,Not reported,Unknown,0
New Brunswick,12/26/2020,All sexes,0–15,na
New Brunswick,12/26/2020,All sexes,16–69,na
New Brunswick,12/26/2020,All sexes,70–74,na
New Brunswick,12/26/2020,All sexes,75–79,na
New Brunswick,12/26/2020,All sexes,80+,na
New Brunswick,12/26/2020,All sexes,All ages,2606
New Brunswick,12/26/2020,All sexes,Not reported,2606
New Brunswick,12/26/2020,All sexes,Unknown,na
New Brunswick,12/26/2020,f,0–15,na
New Brunswick,12/26/2020,f,16–69,na
New Brunswick,12/26/2020,f,70–74,na
New Brunswick,12/26/2020,f,75–79,na
New Brunswick,12/26/2020,f,80+,na
New Brunswick,12/26/2020,f,All ages,na
