Province,Entry_Date,Cumulative confirmed cases,Confirmed cases per day,Cumulative death cases,Deaths per day,Cumulative hospitalizations cases,hospitalizations per day,Mortality rate,Daily mortality rate
New Brunswick,2/19/2022,34222,0,298,0,78,0,0.871,0
British Columbia,2/19/2022,344649,468,2786,0,733,0,0.808,0
Alberta,2/19/2022,520080,472,3830,0,1494,0,0.736,0
Prince Edward Island,2/19/2022,11696,204,15,0,6,0,0.128,0
Manitoba,2/19/2022,129043,272,1672,3,302,0,1.296,1.103
Northwest Territories,2/19/2022,8085,0,18,0,0,0,0.223,0
Saskatchewan,2/19/2022,125701,1407,1090,37,410,0,0.867,2.63
Yukon,2/19/2022,3734,10,20,0,0,0,0.536,0
Newfoundland and Labrador,2/19/2022,21307,0,61,0,13,0,0.286,0
Nunavut,2/19/2022,2391,0,5,0,0,0,0.209,0
Newfoundland and Labrador,2/20/2022,21307,0,61,0,13,0,0.286,0
Prince Edward Island,2/20/2022,11907,211,15,0,6,0,0.126,0
New Brunswick,2/20/2022,34222,0,298,0,78,0,0.871,0
Nunavut,2/20/2022,2391,0,5,0,0,0,0.209,0
British Columbia,2/20/2022,345039,390,2786,0,733,0,0.807,0
Northwest Territories,2/20/2022,8085,0,18,0,0,0,0.223,0
Manitoba,2/20/2022,129147,104,1674,2,302,0,1.296,1.923
Saskatchewan,2/20/2022,125701,0,1090,0,410,0,0.867,0
Yukon,2/20/2022,3745,11,20,0,0,0,0.534,0
Alberta,2/20/2022,520545,465,3830,0,1494,0,0.736,0
Northwest Territories,2/21/2022,8302,217,18,0,0,0,0.217,0
British Columbia,2/21/2022,345431,392,2786,0,733,0,0.807,0
Nova Scotia,2/21/2022,44122,0,186,0,54,0,0.422,0
Manitoba,2/21/2022,129255,108,1676,2,302,0,1.297,1.852
Saskatchewan,2/21/2022,125701,0,1090,0,410,0,0.867,0
New Brunswick,2/21/2022,34222,0,298,0,78,0,0.871,0
Alberta,2/21/2022,520999,454,3830,0,1494,0,0.735,0
Nunavut,2/21/2022,2527,136,5,0,0,0,0.198,0
Prince Edward Island,2/21/2022,12103,196,15,0,6,0,0.124,0
Quebec,2/21/2022,906990,1153,13310,14,1776,18,1.467,1.214
Newfoundland and Labrador,2/21/2022,21974,667,63,2,16,3,0.287,0.3
Yukon,2/21/2022,3754,9,20,0,0,0,0.533,0
Newfoundland and Labrador,2/22/2022,21974,0,63,0,16,0,0.287,0
Ontario,2/22/2022,1109442,1812,12180,19,1139,14,1.098,1.049
Saskatchewan,2/22/2022,125701,0,1090,0,410,0,0.867,0
Manitoba,2/22/2022,129627,372,1679,3,310,8,1.295,0.806
Yukon,2/22/2022,3760,6,20,0,0,0,0.532,0
Northwest Territories,2/22/2022,8424,122,19,1,0,0,0.226,0.82
New Brunswick,2/22/2022,35370,1148,300,2,78,0,0.848,0.174
Nunavut,2/22/2022,2527,0,5,0,0,0,0.198,0
Nunavut,2/23/2022,2620,93,5,0,0,0,0.191,0
Yukon,2/23/2022,3769,9,20,0,0,0,0.531,0
Prince Edward Island,2/23/2022,12657,554,15,0,1,0,0.119,0
Newfoundland and Labrador,2/23/2022,22468,494,64,1,18,2,0.285,0.202
Saskatchewan,2/23/2022,125701,0,1090,0,410,0,0.867,0
Northwest Territories,2/23/2022,8495,71,19,0,0,0,0.224,0
Northwest Territories,2/24/2022,8594,99,19,0,0,0,0.221,0
Nunavut,2/24/2022,2668,48,5,0,0,0,0.187,0
Yukon,2/24/2022,3784,15,21,1,0,0,0.555,6.667
Prince Edward Island,2/24/2022,13069,412,15,0,2,1,0.115,0
New Brunswick,2/24/2022,36035,365,300,0,77,3,0.833,0
Newfoundland and Labrador,2/24/2022,22468,0,64,0,18,0,0.285,0
Northwest Territories,2/25/2022,8682,88,19,0,0,0,0.219,0
Saskatchewan,2/25/2022,125701,0,1090,0,372,0,0.867,0
Yukon,2/25/2022,3796,12,21,0,0,0,0.553,0
Newfoundland and Labrador,2/25/2022,23147,679,64,0,20,2,0.276,0
Prince Edward Island,2/25/2022,13372,303,15,0,2,0,0.112,0
Manitoba,2/25/2022,130334,278,1685,1,222,0,1.293,0.36
Nunavut,2/25/2022,2668,0,5,0,0,0,0.187,0
Prince Edward Island,2/26/2022,13372,0,15,0,2,0,0.112,0
Ontario,2/26/2022,1117547,1581,12233,12,1034,21,1.095,0.759
Newfoundland and Labrador,2/26/2022,23147,0,64,0,20,0,0.276,0
Northwest Territories,2/26/2022,8682,0,19,0,0,0,0.219,0
British Columbia,2/26/2022,347885,336,2851,0,599,0,0.82,0
Manitoba,2/26/2022,130608,274,1685,0,222,0,1.29,0
Nunavut,2/26/2022,2668,0,5,0,0,0,0.187,0
Nova Scotia,2/26/2022,45264,322,191,0,44,0,0.422,0
Alberta,2/26/2022,524210,466,3898,0,1295,0,0.744,0
New Brunswick,2/26/2022,36417,0,301,0,72,0,0.827,0
Yukon,2/26/2022,3807,11,21,0,0,0,0.552,0
Saskatchewan,2/26/2022,126803,1102,1134,44,372,0,0.894,3.993
Alberta,2/27/2022,524586,376,3912,14,1295,0,0.746,3.723
Yukon,2/27/2022,3816,9,21,0,0,0,0.55,0
Nova Scotia,2/27/2022,45586,322,191,0,44,0,0.419,0
Prince Edward Island,2/27/2022,13372,0,15,0,2,0,0.112,0
Manitoba,2/27/2022,130735,127,1685,0,222,0,1.289,0
Saskatchewan,2/27/2022,126803,0,1134,0,372,0,0.894,0
Northwest Territories,2/27/2022,8682,0,19,0,0,0,0.219,0
British Columbia,2/27/2022,348198,313,2851,0,599,0,0.819,0
Nunavut,2/27/2022,2668,0,5,0,0,0,0.187,0
New Brunswick,2/27/2022,36417,0,301,0,72,0,0.827,0
Newfoundland and Labrador,2/27/2022,23147,0,64,0,20,0,0.276,0
Nunavut,2/28/2022,2813,145,5,0,0,0,0.178,0
Prince Edward Island,2/28/2022,14305,933,16,1,2,0,0.112,0.107
Northwest Territories,2/28/2022,8797,115,19,0,0,0,0.216,0
Nova Scotia,2/28/2022,45829,243,198,7,45,1,0.432,2.881
New Brunswick,2/28/2022,37482,1065,304,3,89,17,0.811,0.282
Yukon,2/28/2022,3824,8,21,0,0,0,0.549,0
Saskatchewan,2/28/2022,126803,0,1134,0,372,0,0.894,0
Newfoundland and Labrador,3/1/2022,24026,0,66,0,19,0,0.275,0
Yukon,3/1/2022,3828,4,21,0,0,0,0.549,0
Northwest Territories,3/1/2022,8924,127,19,0,0,0,0.213,0
Ontario,3/1/2022,1122144,2074,12272,14,915,14,1.094,0.675
Saskatchewan,3/1/2022,126803,0,1134,0,372,0,0.894,0
Nova Scotia,3/1/2022,46046,217,200,2,48,3,0.434,0.922
Prince Edward Island,3/1/2022,14305,0,16,0,6,4,0.112,0
Nunavut,3/1/2022,2813,0,5,0,0,0,0.178,0
Alberta,3/1/2022,525650,547,3939,27,1225,1,0.749,4.936
Manitoba,3/1/2022,131059,214,1691,3,208,4,1.29,1.402
Alberta,3/2/2022,526284,634,3946,7,1231,6,0.75,1.104
Manitoba,3/2/2022,131222,163,1696,5,223,15,1.292,3.067
New Brunswick,3/2/2022,38155,386,306,0,89,3,0.802,0
Prince Edward Island,3/2/2022,15267,962,16,0,6,0,0.105,0
Nunavut,3/2/2022,2954,141,5,0,0,0,0.169,0
Yukon,3/2/2022,3837,9,22,1,0,0,0.573,11.111
British Columbia,3/2/2022,349416,378,2883,10,523,0,0.825,2.646
Saskatchewan,3/2/2022,126803,0,1134,0,372,0,0.894,0
Northwest Territories,3/2/2022,9007,83,19,0,0,0,0.211,0
Nova Scotia,3/3/2022,46829,421,207,3,46,1,0.442,0.713
Yukon,3/3/2022,3843,6,22,0,0,0,0.572,0
Newfoundland and Labrador,3/3/2022,24781,0,66,0,15,0,0.266,0
Nunavut,3/3/2022,2954,0,5,0,0,0,0.169,0
Northwest Territories,3/3/2022,9080,73,19,0,0,0,0.209,0
Prince Edward Island,3/3/2022,15267,0,16,0,6,0,0.105,0
New Brunswick,3/4/2022,38937,391,309,1,92,4,0.794,0.256
Saskatchewan,3/4/2022,126803,0,1134,0,353,0,0.894,0
Prince Edward Island,3/4/2022,16296,1029,16,0,6,0,0.098,0
Northwest Territories,3/4/2022,9122,42,19,0,0,0,0.208,0
Nunavut,3/4/2022,3055,101,5,0,0,0,0.164,0
Yukon,3/4/2022,3851,8,22,0,0,0,0.571,0
Newfoundland and Labrador,3/4/2022,25728,947,66,0,16,1,0.257,0
British Columbia,3/5/2022,350375,288,2903,0,484,0,0.829,0
Northwest Territories,3/5/2022,9122,0,19,0,0,0,0.208,0
Nova Scotia,3/5/2022,47123,0,211,0,45,0,0.448,0
Nunavut,3/5/2022,3055,0,5,0,0,0,0.164,0
Prince Edward Island,3/5/2022,16296,0,16,0,6,0,0.098,0
Newfoundland and Labrador,3/5/2022,25728,0,66,0,16,0,0.257,0
Saskatchewan,3/5/2022,127816,1013,1147,13,353,0,0.897,1.283
Manitoba,3/5/2022,131780,214,1706,2,160,0,1.295,0.935
New Brunswick,3/5/2022,38937,0,309,0,92,0,0.794,0
Alberta,3/5/2022,527598,397,3954,0,1164,0,0.749,0
Yukon,3/5/2022,3860,9,22,0,0,0,0.57,0
British Columbia,3/6/2022,350618,243,2903,0,484,0,0.828,0
Manitoba,3/6/2022,131874,94,1709,3,160,0,1.296,3.191
Newfoundland and Labrador,3/6/2022,25728,0,66,0,16,0,0.257,0
Saskatchewan,3/6/2022,127816,0,1147,0,353,0,0.897,0
Nunavut,3/6/2022,3055,0,5,0,0,0,0.164,0
New Brunswick,3/6/2022,38937,0,309,0,92,0,0.794,0
Alberta,3/6/2022,527882,284,3972,18,1164,0,0.752,6.338
Northwest Territories,3/6/2022,9122,0,19,0,0,0,0.208,0
Nova Scotia,3/6/2022,47123,0,211,0,45,0,0.448,0
Prince Edward Island,3/6/2022,16296,0,16,0,6,0,0.098,0
Yukon,3/6/2022,3875,15,22,0,0,0,0.568,0
Nova Scotia,3/7/2022,47123,0,211,0,45,0,0.448,0
Northwest Territories,3/7/2022,9231,109,19,0,0,0,0.206,0
Quebec,3/7/2022,923164,782,13527,13,1254,16,1.465,1.662
Manitoba,3/7/2022,131968,94,1711,2,192,32,1.297,2.128
New Brunswick,3/7/2022,40070,1133,311,2,100,8,0.776,0.177
Newfoundland and Labrador,3/7/2022,25728,0,66,0,25,9,0.257,0
Nunavut,3/7/2022,3163,108,5,0,0,0,0.158,0
Saskatchewan,3/7/2022,127816,0,1147,0,353,0,0.897,0
Prince Edward Island,3/7/2022,17623,1327,16,0,6,0,0.091,0
Yukon,3/7/2022,3888,13,22,0,0,0,0.566,0
Northwest Territories,3/8/2022,9325,94,19,0,0,0,0.204,0
Ontario,3/8/2022,1133472,2123,12352,9,783,22,1.09,0.424
Newfoundland and Labrador,3/8/2022,26972,1244,68,2,25,0,0.252,0.161
Nova Scotia,3/8/2022,47123,0,216,5,45,0,0.458,0
Saskatchewan,3/8/2022,127816,0,1147,0,353,0,0.897,0
Yukon,3/8/2022,3900,12,22,0,0,0,0.564,0
Alberta,3/8/2022,528893,539,3986,7,1106,3,0.754,1.299
Nunavut,3/8/2022,3170,7,5,0,0,0,0.158,0
Prince Edward Island,3/8/2022,18328,705,16,0,6,0,0.087,0
Nova Scotia,3/9/2022,47123,0,216,0,45,0,0.458,0
Saskatchewan,3/9/2022,127816,0,1147,0,353,0,0.897,0
Yukon,3/9/2022,3914,14,22,0,0,0,0.562,0
Nunavut,3/9/2022,3200,30,5,0,0,0,0.156,0
Prince Edward Island,3/9/2022,18905,577,16,0,6,0,0.085,0
Manitoba,3/9/2022,132313,193,1716,2,202,27,1.297,1.036
Northwest Territories,3/9/2022,9400,75,20,1,0,0,0.213,1.333
New Brunswick,3/10/2022,41109,455,316,3,101,3,0.769,0.659
Northwest Territories,3/10/2022,9466,66,20,0,0,0,0.211,0
Newfoundland and Labrador,3/10/2022,28103,0,72,0,20,0,0.256,0
Nunavut,3/10/2022,3200,0,5,0,0,0,0.156,0
Prince Edward Island,3/10/2022,18905,0,16,0,6,0,0.085,0
Nova Scotia,3/10/2022,47123,0,216,0,50,5,0.458,0
Yukon,3/10/2022,3927,13,23,1,0,0,0.586,7.692
Yukon,3/11/2022,3939,12,23,0,0,0,0.584,0
Nova Scotia,3/11/2022,47123,0,216,0,50,0,0.458,0
Manitoba,3/11/2022,132724,234,1721,2,162,2,1.297,0.855
Northwest Territories,3/11/2022,9514,48,20,0,0,0,0.21,0
Saskatchewan,3/11/2022,127816,0,1147,0,339,0,0.897,0
Nunavut,3/11/2022,3265,65,5,0,0,0,0.153,0
New Brunswick,3/11/2022,41512,403,317,1,103,2,0.764,0.248
Prince Edward Island,3/11/2022,19703,798,16,0,6,0,0.081,0
Newfoundland and Labrador,3/11/2022,29365,1262,76,4,22,2,0.259,0.317
Newfoundland and Labrador,3/12/2022,30100,735,76,0,22,0,0.252,0
Alberta,3/12/2022,530842,395,4003,0,1045,0,0.754,0
Prince Edward Island,3/12/2022,19703,0,16,0,6,0,0.081,0
Saskatchewan,3/12/2022,128648,832,1175,28,339,0,0.913,3.365
New Brunswick,3/12/2022,41512,0,317,0,103,0,0.764,0
Northwest Territories,3/12/2022,9514,0,20,0,0,0,0.21,0
Nova Scotia,3/12/2022,47123,0,216,0,50,0,0.458,0
Nunavut,3/12/2022,3265,0,5,0,0,0,0.153,0
Yukon,3/12/2022,3943,4,23,0,0,0,0.583,0
British Columbia,3/12/2022,352202,164,2935,0,368,0,0.833,0
Manitoba,3/12/2022,132875,151,1722,1,162,0,1.296,0.662
Ontario,3/12/2022,1140268,1366,12383,6,725,15,1.086,0.439
Yukon,3/13/2022,3953,10,23,0,0,0,0.582,0
Alberta,3/13/2022,531280,438,4021,18,1045,0,0.757,4.11
Nova Scotia,3/13/2022,47123,0,216,0,50,0,0.458,0
Northwest Territories,3/13/2022,9514,0,20,0,0,0,0.21,0
Nunavut,3/13/2022,3265,0,5,0,0,0,0.153,0
Manitoba,3/13/2022,132990,115,1724,2,162,0,1.296,1.739
Newfoundland and Labrador,3/13/2022,30627,527,76,0,22,0,0.248,0
British Columbia,3/13/2022,352391,189,2935,0,368,0,0.833,0
Prince Edward Island,3/13/2022,19703,0,16,0,6,0,0.081,0
Saskatchewan,3/13/2022,128648,0,1175,0,339,0,0.913,0
New Brunswick,3/13/2022,41512,0,317,0,103,0,0.764,0
Saskatchewan,3/14/2022,128648,0,1175,0,339,0,0.913,0
Northwest Territories,3/14/2022,9590,76,20,0,0,0,0.209,0
Nunavut,3/14/2022,3265,0,5,0,0,0,0.153,0
New Brunswick,3/14/2022,41512,0,317,0,103,0,0.764,0
Newfoundland and Labrador,3/14/2022,31070,443,76,0,22,0,0.245,0
Manitoba,3/14/2022,133097,107,1725,1,182,20,1.296,0.935
Prince Edward Island,3/14/2022,20560,857,16,0,6,0,0.078,0
Quebec,3/14/2022,930551,716,13614,11,1077,3,1.463,1.536
Nova Scotia,3/14/2022,47123,0,216,0,50,0,0.458,0
Ontario,3/14/2022,1142632,1396,12395,6,688,9,1.085,0.43
Yukon,3/14/2022,3961,8,23,0,0,0,0.581,0
Yukon,3/15/2022,3969,8,23,0,0,0,0.579,0
Ontario,3/15/2022,1144626,1994,12405,10,694,6,1.084,0.502
Northwest Territories,3/15/2022,9666,76,20,0,0,0,0.207,0
Newfoundland and Labrador,3/15/2022,31553,483,78,2,27,5,0.247,0.414
Manitoba,3/15/2022,133315,218,1728,3,186,4,1.296,1.376
Quebec,3/15/2022,931848,1297,13625,11,1082,5,1.462,0.848
Nova Scotia,3/15/2022,47123,0,232,16,50,0,0.492,0
Nunavut,3/15/2022,3331,66,5,0,0,0,0.15,0
Saskatchewan,3/15/2022,128648,0,1175,0,339,0,0.913,0
Prince Edward Island,3/15/2022,20560,0,16,0,17,11,0.078,0
Prince Edward Island,3/16/2022,21307,747,16,0,17,0,0.075,0
Nunavut,3/16/2022,3331,0,5,0,0,0,0.15,0
Newfoundland and Labrador,3/16/2022,32113,560,82,4,27,0,0.255,0.714
Saskatchewan,3/16/2022,128648,0,1175,0,339,0,0.913,0
Nova Scotia,3/16/2022,47123,0,232,0,50,0,0.492,0
New Brunswick,3/16/2022,42320,0,320,0,99,0,0.756,0
Yukon,3/16/2022,3986,17,23,0,0,0,0.577,0
Northwest Territories,3/16/2022,9737,71,20,0,0,0,0.205,0
Manitoba,3/17/2022,133748,229,1734,4,162,10,1.296,1.747
Northwest Territories,3/17/2022,9790,53,20,0,0,0,0.204,0
Nunavut,3/17/2022,3331,0,5,0,0,0,0.15,0
Newfoundland and Labrador,3/17/2022,32720,607,82,0,27,0,0.251,0
New Brunswick,3/17/2022,42320,0,320,0,99,0,0.756,0
Prince Edward Island,3/17/2022,21307,0,16,0,17,0,0.075,0
Nova Scotia,3/17/2022,47123,0,232,0,50,0,0.492,0
Yukon,3/17/2022,4004,18,23,0,0,0,0.574,0
Nunavut,3/18/2022,3331,0,5,0,0,0,0.15,0
Yukon,3/18/2022,4017,13,23,0,0,0,0.573,0
Prince Edward Island,3/18/2022,21307,0,16,0,17,0,0.075,0
Saskatchewan,3/18/2022,128648,0,1175,0,299,0,0.913,0
Nova Scotia,3/18/2022,47123,0,232,0,50,0,0.492,0
Northwest Territories,3/18/2022,9843,53,20,0,0,0,0.203,0
New Brunswick,3/18/2022,42320,0,320,0,99,0,0.756,0
Newfoundland and Labrador,3/18/2022,33383,663,85,3,27,0,0.255,0.452
Manitoba,3/18/2022,133935,187,1734,0,164,2,1.295,0
British Columbia,3/19/2022,353698,182,2966,0,290,0,0.839,0
New Brunswick,3/19/2022,42320,0,320,0,99,0,0.756,0
Yukon,3/19/2022,4036,19,23,0,0,0,0.57,0
Saskatchewan,3/19/2022,129543,895,1208,33,299,0,0.933,3.687
Nunavut,3/19/2022,3331,0,5,0,0,0,0.15,0
Prince Edward Island,3/19/2022,21307,0,16,0,17,0,0.075,0
Newfoundland and Labrador,3/19/2022,33832,449,85,0,27,0,0.251,0
Northwest Territories,3/19/2022,9843,0,20,0,0,0,0.203,0
Manitoba,3/19/2022,134140,205,1735,1,164,0,1.293,0.488
Alberta,3/19/2022,534549,479,4023,0,966,0,0.753,0
Nova Scotia,3/19/2022,47123,0,232,0,50,0,0.492,0
Nova Scotia,3/20/2022,47123,0,232,0,50,0,0.492,0
Newfoundland and Labrador,3/20/2022,34281,449,85,0,27,0,0.248,0
Prince Edward Island,3/20/2022,21307,0,16,0,17,0,0.075,0
Northwest Territories,3/20/2022,9843,0,20,0,0,0,0.203,0
New Brunswick,3/20/2022,42320,0,320,0,99,0,0.756,0
Alberta,3/20/2022,534892,343,4023,0,966,0,0.752,0
British Columbia,3/20/2022,353846,148,2966,0,290,0,0.838,0
Nunavut,3/20/2022,3331,0,5,0,0,0,0.15,0
Manitoba,3/20/2022,134233,93,1735,0,164,0,1.293,0
Yukon,3/20/2022,4047,11,23,0,0,0,0.568,0
Saskatchewan,3/20/2022,129543,0,1208,0,299,0,0.933,0
Newfoundland and Labrador,3/21/2022,34605,324,87,2,31,4,0.251,0.617
Nunavut,3/21/2022,3331,0,5,0,0,0,0.15,0
Yukon,3/21/2022,4059,12,23,0,0,0,0.567,0
Quebec,3/21/2022,939289,1062,13691,14,1002,13,1.458,1.318
Ontario,3/21/2022,1154385,1501,12459,5,632,35,1.079,0.333
Saskatchewan,3/21/2022,129543,0,1208,0,299,0,0.933,0
New Brunswick,3/21/2022,42320,0,320,0,99,0,0.756,0
Alberta,3/21/2022,535377,485,4044,21,966,0,0.755,4.33
Manitoba,3/21/2022,134311,78,1735,0,182,18,1.292,0
Nova Scotia,3/21/2022,47123,0,232,0,50,0,0.492,0
Prince Edward Island,3/21/2022,21307,0,16,0,17,0,0.075,0
Northwest Territories,3/21/2022,9942,99,21,1,0,0,0.211,1.01
Northwest Territories,3/22/2022,10005,63,21,0,0,0,0.21,0
Newfoundland and Labrador,3/22/2022,34872,267,87,0,31,0,0.249,0
Saskatchewan,3/22/2022,129543,0,1208,0,299,0,0.933,0
Yukon,3/22/2022,4066,7,24,1,0,0,0.59,14.286
Prince Edward Island,3/22/2022,23345,2038,16,0,22,5,0.069,0
Ontario,3/22/2022,1156858,2473,12467,8,668,36,1.078,0.323
Nunavut,3/22/2022,3400,69,5,0,0,0,0.147,0
Alberta,3/22/2022,536146,769,4044,0,966,0,0.754,0
Nova Scotia,3/22/2022,47123,0,245,13,50,0,0.52,0
Quebec,3/22/2022,940964,1675,13696,5,1043,41,1.456,0.299
New Brunswick,3/22/2022,45101,2781,336,16,129,30,0.745,0.575
Saskatchewan,3/23/2022,129543,0,1208,0,299,0,0.933,0
Nova Scotia,3/23/2022,47123,0,245,0,50,0,0.52,0
Nunavut,3/23/2022,3400,0,5,0,0,0,0.147,0
British Columbia,3/23/2022,354611,267,2975,1,258,4,0.839,0.375
Prince Edward Island,3/23/2022,23345,0,16,0,22,0,0.069,0
Yukon,3/23/2022,4087,21,24,0,0,0,0.587,0
Manitoba,3/23/2022,134573,149,1735,0,192,14,1.289,0
Northwest Territories,3/23/2022,10106,101,21,0,0,0,0.208,0
New Brunswick,3/23/2022,45101,0,336,0,129,0,0.745,0
Nunavut,3/24/2022,3400,0,5,0,0,0,0.147,0
Alberta,3/24/2022,537705,819,4044,0,956,0,0.752,0
Quebec,3/24/2022,945591,2366,13714,8,1062,28,1.45,0.338
Northwest Territories,3/24/2022,10235,129,21,0,0,0,0.205,0
Newfoundland and Labrador,3/24/2022,35745,454,92,0,29,0,0.257,0
New Brunswick,3/24/2022,45101,0,336,0,129,0,0.745,0
Yukon,3/24/2022,4103,16,24,0,0,0,0.585,0
Prince Edward Island,3/24/2022,23345,0,16,0,22,0,0.069,0
Saskatchewan,3/24/2022,129543,0,1208,0,305,6,0.933,0
Ontario,3/24/2022,1161812,2572,12481,7,668,37,1.074,0.272
Northwest Territories,3/25/2022,10333,98,21,0,0,0,0.203,0
Newfoundland and Labrador,3/25/2022,36252,507,101,9,33,4,0.279,1.775
Ontario,3/25/2022,1164250,2438,12489,8,675,7,1.073,0.328
Prince Edward Island,3/25/2022,23345,0,16,0,22,0,0.069,0
Saskatchewan,3/25/2022,129543,0,1208,0,305,0,0.933,0
British Columbia,3/25/2022,355048,216,2983,2,260,5,0.84,0.926
Yukon,3/25/2022,4122,19,24,0,0,0,0.582,0
Nova Scotia,3/25/2022,47123,0,245,0,42,0,0.52,0
Manitoba,3/25/2022,134907,141,1735,0,165,2,1.286,0
Alberta,3/25/2022,538396,691,4044,0,956,0,0.751,0
Nunavut,3/25/2022,3400,0,5,0,0,0,0.147,0
New Brunswick,3/25/2022,45101,0,336,0,129,0,0.745,0
Saskatchewan,3/26/2022,130739,1196,1228,20,305,0,0.939,1.672
Prince Edward Island,3/26/2022,23345,0,16,0,22,0,0.069,0
Yukon,3/26/2022,4147,25,24,0,0,0,0.579,0
Newfoundland and Labrador,3/26/2022,36622,370,101,0,33,0,0.276,0
Quebec,3/26/2022,949909,2127,13741,12,1068,20,1.447,0.564
Manitoba,3/26/2022,135214,307,1744,9,359,194,1.29,2.932
Alberta,3/26/2022,538925,529,4044,0,956,0,0.75,0
New Brunswick,3/26/2022,45101,0,336,0,129,0,0.745,0
Nunavut,3/26/2022,3400,0,5,0,0,0,0.147,0
Ontario,3/26/2022,1165955,1705,12496,7,714,39,1.072,0.411
Nova Scotia,3/26/2022,47123,0,245,0,42,0,0.52,0
Northwest Territories,3/26/2022,10333,0,21,0,0,0,0.203,0
British Columbia,3/26/2022,355263,215,2983,0,260,0,0.84,0
Northwest Territories,3/27/2022,10333,0,21,0,0,0,0.203,0
Manitoba,3/27/2022,135214,0,1744,0,359,0,1.29,0
Alberta,3/27/2022,539384,459,4044,0,956,0,0.75,0
New Brunswick,3/27/2022,45101,0,336,0,129,0,0.745,0
Quebec,3/27/2022,951536,1627,13746,5,1088,20,1.445,0.307
Saskatchewan,3/27/2022,130739,0,1228,0,305,0,0.939,0
Nunavut,3/27/2022,3400,0,5,0,0,0,0.147,0
Nova Scotia,3/27/2022,47123,0,245,0,42,0,0.52,0
Prince Edward Island,3/27/2022,23345,0,16,0,22,0,0.069,0
Yukon,3/27/2022,4168,21,24,0,0,0,0.576,0
British Columbia,3/27/2022,355434,171,2983,0,260,0,0.839,0
Newfoundland and Labrador,3/27/2022,37161,539,101,0,33,0,0.272,0
Quebec,3/28/2022,953293,1757,13756,10,1115,27,1.443,0.569
Nova Scotia,3/28/2022,47123,0,245,0,42,0,0.52,0
Manitoba,3/28/2022,135214,0,1744,0,359,0,1.29,0
Saskatchewan,3/28/2022,130739,0,1228,0,305,0,0.939,0
Yukon,3/28/2022,4175,7,24,0,0,0,0.575,0
Newfoundland and Labrador,3/28/2022,37409,248,103,2,40,7,0.275,0.806
Prince Edward Island,3/28/2022,23345,0,16,0,22,0,0.069,0
Alberta,3/28/2022,539954,570,4074,30,956,0,0.755,5.263
Ontario,3/28/2022,1169542,1929,12512,10,768,109,1.07,0.518
New Brunswick,3/28/2022,45101,0,336,0,129,0,0.745,0
Nunavut,3/28/2022,3400,0,5,0,0,0,0.147,0
Northwest Territories,3/28/2022,10547,214,21,0,0,0,0.199,0
British Columbia,3/28/2022,355681,247,2989,6,288,28,0.84,2.429
Quebec,3/29/2022,956171,2878,13765,9,1153,38,1.44,0.313
New Brunswick,3/29/2022,48197,3096,349,13,142,13,0.724,0.42
Yukon,3/29/2022,4190,15,24,0,0,0,0.573,0
Northwest Territories,3/29/2022,10679,132,21,0,0,0,0.197,0
Saskatchewan,3/29/2022,130739,0,1228,0,305,0,0.939,0
Nova Scotia,3/29/2022,47123,0,255,10,42,0,0.541,0
Newfoundland and Labrador,3/29/2022,37759,350,103,0,40,0,0.273,0
Nunavut,3/29/2022,3472,72,6,1,0,0,0.173,1.389
Ontario,3/29/2022,1172229,2687,12519,7,794,26,1.068,0.261
Manitoba,3/29/2022,135214,0,1744,0,359,0,1.29,0
Alberta,3/29/2022,540827,873,4074,0,956,0,0.753,0
Nova Scotia,3/30/2022,47123,0,255,0,42,0,0.541,0
Northwest Territories,3/30/2022,10779,100,21,0,0,0,0.195,0
Quebec,3/30/2022,959302,3131,13777,12,1200,47,1.436,0.383
Prince Edward Island,3/30/2022,25799,0,18,0,19,0,0.07,0
Manitoba,3/30/2022,135214,0,1744,0,359,0,1.29,0
British Columbia,3/30/2022,356235,258,2996,6,276,3,0.841,2.326
Alberta,3/30/2022,541694,867,4074,0,964,8,0.752,0
Newfoundland and Labrador,3/30/2022,38329,570,110,7,40,0,0.287,1.228
New Brunswick,3/30/2022,48197,0,349,0,142,0,0.724,0
Saskatchewan,3/30/2022,130739,0,1228,0,305,0,0.939,0
Nunavut,3/30/2022,3472,0,6,0,0,0,0.173,0
Yukon,3/30/2022,4200,10,24,0,0,0,0.571,0
Nova Scotia,3/31/2022,47123,0,255,0,51,9,0.541,0
Prince Edward Island,3/31/2022,25799,0,18,0,19,0,0.07,0
British Columbia,3/31/2022,356526,291,2998,2,281,5,0.841,0.687
New Brunswick,3/31/2022,48197,0,349,0,142,0,0.724,0
Nunavut,3/31/2022,3472,0,6,0,0,0,0.173,0
Alberta,3/31/2022,542603,909,4074,0,964,0,0.751,0
Manitoba,3/31/2022,135214,0,1744,0,359,0,1.29,0
Saskatchewan,3/31/2022,130739,0,1228,0,324,19,0.939,0
Ontario,3/31/2022,1178366,2966,12540,10,808,20,1.064,0.337
Yukon,3/31/2022,4225,25,24,0,0,0,0.568,0
Newfoundland and Labrador,3/31/2022,38628,299,110,0,40,0,0.285,0
Quebec,3/31/2022,962836,3534,13784,7,1238,38,1.432,0.198
Northwest Territories,3/31/2022,10877,98,21,0,0,0,0.193,0
Northwest Territories,4/1/2022,10951,74,21,0,0,0,0.192,0
Manitoba,4/1/2022,135214,0,1744,0,359,0,1.29,0
