Province,Entry_Date,Cumulative confirmed cases,Confirmed cases per day,Cumulative death cases,Deaths per day,Cumulative hospitalizations cases,hospitalizations per day,Mortality rate,Daily mortality rate
Ontario,1/3/2021,197201,3301,4900,48,1333,46,2.485,1.454
Manitoba,1/3/2021,25127,94,700,3,339,5,2.786,3.191
Quebec,1/4/2021,206168,2340,8003,43,1294,69,3.882,1.838
New Brunswick,1/4/2021,635,17,9,0,1,0,1.417,0
Saskatchewan,1/4/2021,16367,284,158,2,180,28,0.965,0.704
Newfoundland and Labrador,1/4/2021,391,1,4,0,1,0,1.023,0
Ontario,1/4/2021,200342,3141,4955,55,1390,57,2.473,1.751
Manitoba,1/4/2021,25249,122,704,4,340,1,2.788,3.279
Yukon,1/4/2021,80,1,1,0,0,0,1.25,0
Northwest Territories,1/4/2021,24,0,0,0,0,0,0,0
Nova Scotia,1/4/2021,1505,4,65,0,1,0,4.319,0
Nunavut,1/4/2021,266,0,1,0,0,0,0.376,0
Prince Edward Island,1/4/2021,96,0,0,0,0,0,0,0
Prince Edward Island,1/5/2021,97,1,0,0,0,0,0,0
Quebec,1/5/2021,208678,2510,8052,49,1317,23,3.859,1.952
Yukon,1/5/2021,81,1,1,0,0,0,1.235,0
Ontario,1/5/2021,203666,3324,5007,52,1435,45,2.458,1.564
Alberta,1/5/2021,107780,1148,1193,25,919,14,1.107,2.178
Newfoundland and Labrador,1/5/2021,392,1,4,0,1,0,1.02,0
Northwest Territories,1/5/2021,24,0,0,0,0,0,0,0
British Columbia,1/5/2021,55518,565,954,8,367,16,1.718,1.416
New Brunswick,1/5/2021,662,27,9,0,1,0,1.36,0
Nunavut,1/5/2021,266,0,1,0,0,0,0.376,0
New Brunswick,1/6/2021,693,31,9,0,1,0,1.299,0
Yukon,1/6/2021,83,2,1,0,0,0,1.205,0
Prince Edward Island,1/6/2021,101,4,0,0,0,0,0,0
Newfoundland and Labrador,1/6/2021,392,0,4,0,1,0,1.02,0
Northwest Territories,1/6/2021,24,0,0,0,0,0,0,0
Nunavut,1/6/2021,266,0,1,0,0,0,0.376,0
Nova Scotia,1/6/2021,1520,12,65,0,0,0,4.276,0
Saskatchewan,1/6/2021,16804,284,172,9,172,6,1.024,3.169
British Columbia,1/6/2021,56124,606,962,8,381,14,1.714,1.32
Quebec,1/6/2021,211313,2635,8106,54,1393,76,3.836,2.049
Ontario,1/6/2021,207404,3738,5059,52,1480,45,2.439,1.391
New Brunswick,1/7/2021,717,24,9,0,1,0,1.255,0
Saskatchewan,1/7/2021,17138,334,175,3,176,4,1.021,0.898
Yukon,1/7/2021,83,0,1,0,0,0,1.205,0
Newfoundland and Labrador,1/7/2021,392,0,4,0,1,0,1.02,0
